epoch;acc;loss;val_acc;val_loss
0;0.7403259375046805;0.5263592831927751;0.7644650644610542;0.4976061738734683
1;0.784058761556211;0.45608392946068;0.7865265633862092;0.4502895691769612
2;0.8072815631108881;0.4194939710293778;0.8019013829106326;0.425891440508147
3;0.8187388853756232;0.3995906314681619;0.8345160130330048;0.36920506490890637
4;0.8288019318007128;0.38255011706561515;0.8295578605222911;0.37849059212936587
5;0.8428912061319896;0.35799638883623536;0.8531204524519141;0.3375925029989934
6;0.8463718470847225;0.3522350644524761;0.8582605537368742;0.3270011567653006
7;0.8486350230460717;0.3464902241133464;0.8543941055843404;0.32941883717822196
8;0.8496352650665983;0.3435471738416749;0.8588973806935106;0.3278218326219825
9;0.849993937375127;0.34440593124447694;0.8599435960361531;0.3257859696727653
10;0.8501050762189001;0.3448038372770313;0.8605349355389458;0.3245550284739665
11;0.8507769555576095;0.34425676287405704;0.8605804209105312;0.32308664241211904
12;0.8510295427562425;0.34231703601250013;0.8599890832297146;0.3235896260327127
13;0.8506203525339251;0.3435002328352831;0.8598526200873362;0.32400674805630764
14;0.8511962497500282;0.3420976155250542;0.8608078602620087;0.320946697259574
15;0.8511255253991609;0.3433356994020488;0.8619905390073118;0.3211564550493482
16;0.8497615576831029;0.34347388779186255;0.8592157926101351;0.3267028651253105
17;0.8506254043310851;0.3421458519857908;0.8605349337169698;0.32412086316591787
