epoch;acc;loss;val_acc;val_loss
0;0.818794455838134;0.3937092869751206;0.7561677636807425;0.4808765385757413
1;0.8228914076905015;0.3882298100410909;0.8173428366058751;0.39548180683663015
2;0.8245079615645682;0.3860891384770868;0.7907986112853937;0.442441594705247
3;0.8254677904796878;0.3837244061736894;0.8117690065450835;0.40820682388648655
4;0.8264023595707262;0.38114002335430003;0.8123629406878823;0.4146964382707027
5;0.830145692039068;0.37542801621351046;0.8252010235660955;0.388399412757472
6;0.8318127627284867;0.373435241536072;0.8069718595136676;0.41143701238590374
7;0.8321663839046985;0.3739698007486031;0.8268000734479803;0.36770927095622347
8;0.8325149526767194;0.3711207079783328;0.8392269757756016;0.36177099273915875
9;0.8332575574069203;0.36986885541394193;0.8104440794702161;0.4083685788669084
10;0.8361370429382177;0.36687640206947936;0.817616960981436;0.39050446189286414
11;0.8354550597739382;0.36655521897235965;0.8424707609310484;0.35267859814982666
12;0.8368442845390793;0.3636733753142371;0.8182565805159117;0.39210767625716697
