epoch;acc;loss;val_acc;val_loss
0;0.8304235373563147;0.3857440914376978;0.8433860982869911;0.35497443410506935
1;0.8500191963898338;0.3444718428382471;0.8596251830783994;0.3275161600269084
2;0.8566874795521959;0.32934162856795973;0.8625818766881285;0.3203049723107742
3;0.8608046391424221;0.32185842490652944;0.8543941037623642;0.3283708050651842
4;0.8692511315778201;0.3037482632466824;0.8774108436430386;0.28854910268013134
5;0.8724640317037196;0.29721204450157057;0.8787299868321314;0.28574563471771225
6;0.8740149126482981;0.294274755118543;0.8813682682649537;0.28121751566380915
7;0.8757880702108926;0.2904695235156643;0.8830967974975119;0.27833307550723896
8;0.8769348121521892;0.2862836725532893;0.8828238712127552;0.2772141123702953
9;0.8787534346462568;0.28310203814208795;0.8841430144018482;0.27564262244118354
10;0.8786978663228069;0.2829105285448894;0.8811408315162992;0.27726429180286855
11;0.8805771099202964;0.27971109507964953;0.8846433766544125;0.27155396758729194
12;0.8819966460176166;0.27678605060659484;0.886326420255103;0.27386223082328987
